Groups:
AD9226_0_BITS[11..0] =, AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0],  signed decimal
AD9226_1_BITS[11..0] =, AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0],  signed decimal

Data:
time unit: s, AD9226_0_BITS[11..0], AD9226_0_BITS[11], AD9226_0_BITS[10], AD9226_0_BITS[9], AD9226_0_BITS[8], AD9226_0_BITS[7], AD9226_0_BITS[6], AD9226_0_BITS[5], AD9226_0_BITS[4], AD9226_0_BITS[3], AD9226_0_BITS[2], AD9226_0_BITS[1], AD9226_0_BITS[0], AD9226_1_BITS[11..0], AD9226_1_BITS[11], AD9226_1_BITS[10], AD9226_1_BITS[9], AD9226_1_BITS[8], AD9226_1_BITS[7], AD9226_1_BITS[6], AD9226_1_BITS[5], AD9226_1_BITS[4], AD9226_1_BITS[3], AD9226_1_BITS[2], AD9226_1_BITS[1], AD9226_1_BITS[0], 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
58, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 735, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 
59, 312, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 697, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 
60, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 659, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 
61, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 629, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 
62, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 586, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 
63, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 553, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 
64, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 577, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 
65, 314, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 518, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
66, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 457, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 
67, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 426, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 
68, 305, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 378, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
69, 305, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 340, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 
70, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 288, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 
71, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 240, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 
72, 312, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 200, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 
73, 305, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 162, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 
74, 306, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 117, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 
75, 306, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 80, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 
76, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 42, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 
77, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 
78, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, -49, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 
79, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, -63, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 
80, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, -133, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 
81, 312, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, -179, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 
82, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, -105, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 
83, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, -286, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 
84, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, -323, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 
85, 307, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, -366, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 
86, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, -398, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 
87, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, -449, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 
88, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, -481, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 
89, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, -457, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 
90, 311, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, -577, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 
91, 309, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, -615, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 
92, 308, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, -647, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 
93, 312, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, -702, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 
94, 310, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, -738, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 
